,county,state,Lon,Lat
2186,Mackinac,Michigan,-85.0336698,46.085237
2187,Crow Wing,Minnesota,-94.1017044,46.4665237
2188,Freeborn,Minnesota,-93.3501681,43.6763617
2189,Yellow Medicine,Minnesota,-95.8533555,44.7198536
2190,Jasper,Mississippi,-89.1132111,32.0216075
2191,Butler,Missouri,-90.4146358,36.7151346
2192,Caldwell,Missouri,-93.9997281,39.6558966
2193,DeKalb,Missouri,-94.4078109,39.885757
2194,Gasconade,Missouri,-91.5177499,38.4575789
2195,Carbon,Montana,-109.1434792,45.2050058
2196,Cuming,Nebraska,-96.7921475,41.9233919
2197,Catron,New Mexico,-108.3800825,33.9026943
2198,Grant,New Mexico,-108.3634144,32.7548776
2199,Otero,New Mexico,-105.8063662,32.5059533
2200,Burke,North Dakota,-102.5295867,48.7882181
2201,Morrow,Ohio,-84.1271568,39.3545046
2202,Greer,Oklahoma,-99.5435856,34.9326334
2203,Unknown,Oklahoma,-97.55616630746103,35.7348581
2204,Allendale,South Carolina,-81.3084405,33.0079345
2205,Clay,Tennessee,-85.5323062,36.5125924
2206,Grainger,Tennessee,-83.5107018,36.2810821
2207,Hickman,Tennessee,-85.9405429,36.1439464
2208,Lauderdale,Tennessee,-89.6175055,35.7579793
2209,Sequatchie,Tennessee,-85.5935781,35.1156326
2210,Anderson,Texas,-95.6258199,31.7819242
2211,Camp,Texas,-94.9852858,32.9723128
2212,Clay,Texas,-98.2123296,33.6856157
2213,Colorado,Texas,-96.5478826,29.6099609
2214,Comanche,Texas,-98.527388,31.9130171
2215,Gonzales,Texas,-97.5108636,29.4436555
2216,Gray,Texas,-100.7892236,35.3711816
2217,Kerr,Texas,-99.3884839,30.045717
2218,Live Oak,Texas,-98.101923,28.2678746
2219,Newton,Texas,-93.740504,30.8118989
2220,San Augustine,Texas,-94.1751389,31.3970365
2221,Wood,Texas,-95.3812941,32.7577475
2222,Augusta,Virginia,-78.6377912,39.2953787
2223,Sussex,Virginia,-77.2791383,36.91515
2224,Barbour,West Virginia,-80.0135627,39.1218129
2225,Unknown,West Virginia,-80.72177295,40.0642004
2226,Crawford,Wisconsin,-90.8938474,43.2271639
2227,Menominee,Wisconsin,-89.9858018,43.8991414
2228,Coffee,Alabama,-85.9870669,31.3629619
2229,Unknown,Alaska,-162.87491165,55.142040550000004
2230,Yukon-Koyukuk Census Area,Alaska,-159.9618241,64.968391
2231,Mississippi,Arkansas,-90.0875933,35.7547987
2232,Monroe,Arkansas,-91.2289578,34.6778982
2233,Ouachita,Arkansas,-92.9355875,33.5680929
2234,Sharp,Arkansas,-91.4930274,36.1344424
2235,Del Norte,California,-123.91328,41.7261767
2236,Custer,Colorado,-105.3543375,38.1072962
2237,Telfair,Georgia,-82.9339377,31.9182328
2238,Washington,Idaho,-116.7400859,44.3986887
2239,Logan,Illinois,-89.3768539,40.1075089
